AUTHOR,TITLE,MAP,PUB_YEAR,COMMENT,DEWEY_CALL_NO,CLIENT
"PAYNE, DARREN B.",VIEW PLANE ASSESSMENT USING A GIS: ROUTE ANALYSIS OF THE PROPOSED 104 HIGHWAY?,NO,1994,,711.3 PAY,
"CARTER, SEAN DAVID",WALK WITH NATURE: BACAP OAKLAND AREA TRAIL,NO,1996,,711.3 CAR,
"MAILMAN, LEE","WATERSHED MANAGEMENT STRATEGY: SECOND LAKE REGIONAL PARK, HALIFAX REGIONAL MUNICIPALITY",NO,2001,,711.3 MAI 2001,
"BALCH, SHIRLEY","WEBSTER COURT, A DEVELOPMENT PROPOSAL",NO,1986,,711.3 BAL,"PLANNING - KENTVILLE, NOVA SCOTIA"
"HEBERT, MARK ADAM",WESTERN VALLEY DEVELOPMENT AUTHORITY BUSINESS DIRECTORY INFORMATION SYSTEM: A PILOT PROJECT IN ANNAPOLIS COUNTY,NO,1998,,711.3 HEB,WESTERN VALLEY DEVELOPMENT AUTHORITY (NS)
"LAFONTAINE, SEAN",WESTERN VALLEY DEVELOPMENT AUTHORITY WIRELESS NETWORK INFRASTRUCTURE AND VIEWSHEDS,NO,2002,,010.785 LAF 2002,WIRELESS COMMUNICATION SYSTEMS
"HIGGINS, STEVEN W.",WILMOT STATION: A SEWAGE DISPOSAL STUDY,NO,1983,,711.3 HIG,"PLANNING - WILMOT, NOVA SCOTIA"
"DODGE, ANDREA","WINDSOR, NOVA SCOTIA: GROWTH OF THE MUDFLAT [MAP]",YES,2001,,MAP 574.92 DOD 2001,
"SYMONDS, ED",WOLFVILLE TREE SURVEY: ANALYSING THE BENEFITS OF A COMPUTERIZED?INVENTORY,NO,1997,,711.3 SYM,
"HENRY, SHEILAGH E.",WOODLOT MANAGEMENT STUDY: A SURVEY OF NORTH MOUNTAIN WOODLOTS LTD.,NO,1983,,711.3 HEN,"PLANNING - ANNAPOLIS COUNTY, NOVA SCOTIA"
"DENEAU, DAN",YELLOWSTONE WOLVES [MAP],YES,2001,,MAP 526.8 DEN 2001,
