AUTHOR,TITLE,MAP,PUB_YEAR,COMMENT,DEWEY_CALL_NO,CLIENT
"CLUETT, GLEN A.",GIS BASED HIGHWAY CORRIDOR ROUTE SELECTION PROJECT: DIGBY TO WEYMOUTH,NO,1995,,711.3 CLU,
"WEAVER, CHRIS",GIS FOR THE SHUBENACADIE CANAL COMMISSION,NO,1999,,711.3 WEA 1999,SHUBENACADIE CANAL
"JULIEN, SUZANNE",GIS IN EDUCATION: USING GIS AS A TOOL TO TEACH GEOGRAPHY,NO,2000,,711.3 JUL 2000,GEOGRAPHY - STUDY AND TEACHING
"MESHAU, GREG",GIS SOLUTIONS AND WVDA BUSINESS DIRECTORY ANALYSIS,NO,1999,,711.3 MES 1999,WESTERN VALLEY DEVELOPMENT AUTHORITY
"JOHNSTON, JARRAD",GIS USER REQUIREMENT STUDY: HANTS COUNTY REGIONAL DEVELOPMENT AUTHORITY,NO,2001,,711.3 JOH 2001,
"BAIN, GRANT C.",GRANITE BARRENS RECREATION PROPOSAL,NO,1988,,711.3 BAI,"PARKS, NOVA SCOTIA - PLANNING"
"WOODMAN, PAMELA","GROUND WATER STUDY: DISTRICT 1, ANNAPOLIS COUNTY",NO,1994,,711.3 WOO,"ANNAPOLIS COUNTY, NOVA SCOTIA - PLANNING"
"STURNEY, JENNIFER",GROWTH WANTED OR NEEDED: COLDBROOK NOVA SCOTIA TECHNICAL BACKGROUND REPORT,NO,2003,,711.3 STU 2003,
"COWPER, MIKE",HABITAT SUITABILITY MODELING USING MULTI-VARIATE ANALYSIS TO LOCATE FISHER HABITAT WITHIN THE NOVA SCOTIA MODEL FOREST,NO,1999,,711.3 COW 1999,FISHER - NOVA SCOTIA - HABITAT
"HARRISON, RACHEL",HALIFAX ELEVATION [MAP],YES,2001,,MAP 574.92 HAR 2001 C.2,
"HARRISON, RACHEL",HALIFAX ELEVATION [MAP],YES,2001,,MAP 574.92 HAR 2001 C.1,
"MCGRATH, HEATHER",HALIFAX EMERGENCY SERVICE LOCATIONS [MAP],YES,2001,,MAP 574.92 MCG 2001,
"NEATT, KEVIN",HALIFAX HARBOUR EXAMINATION,NO,1997,,711.3 NEA 1997,SEWAGE DISPOSAL - HALIFAX
"SAUNDERS, SCOTT","HALIFAX NOVA SCOTIA DISPLAYED USING VERTICAL MAPPER, GRID ANALYSIS & 3D [MAP]",YES,2001,,MAP 574.92 SAU 2001,
"HARRISON, RACHEL",HALIFAX VISITORS GUIDE [MAP],YES,2001,,MAP 574.92 HAR 2001,
"SMITH, TODD PETER",HERITAGE FOUNDATION OF NEWFOUNDLAND AND LABRADOR: HISTORIC BUILDING INVENTORY,NO,1996,,711.3 SMI,
"MACKENZIE, CRYSTAL",HERITAGE IN MIDDLETON: CONSERVATION DISTRICTS,NO,1992,,711.3 MAC,
"HEMAUER, DEREK",HOLY LAND TERRORISM: TERRORIST ATTACKS IN WEST BANK AND GAZA STRIP 1993-2000 [MAP],YES,2001,,MAP 526.8 HEM 2001,
"BONIN, MELISSA",HOW CAN MUNICIPALITIES IMPROVE EXISTING COMMERCIAL STRIPS?,NO,2000,,711.3 BON 2000,
"LEGG, JENNIFER",IDENTIFYING SUITABLE AREAS FOR HONEY BEE COLONIES,NO,1998,,711.3 LEG,
"COLDWELL, KAREN L.",IMPACT OF TOURISM IN ANNAPOLIS ROYAL,NO,1987,,711.3 COL,"PLANNING - ANNAPOLIS ROYAL, NOVA SCOTIA"
"O'HEARN, MARK RICHARD",INDUSTRIAL PARK ALLOCATION STUDY FOR BARRINGTON MUNICIPALITY,NO,1989,,711.3 OHE,"PARKS, INDUSTRIAL - DATA PROCESSING"
"SMITH, ANDREW",INDUSTRIAL SENSITIVITY : THE MUNICIPALITY OF ANNAPOLIS COUNTY,NO,2002,,711.3 SMI 2002,
"LAMEY, SHAWN",INFORMATION MANAGEMENT: A STUDY FOR HALIFAX INTERNATIONAL AIRPORT,NO,1994,,711.3 LAM,HALIFAX INTERNATIONAL AIRPORT - PLANNING
"WILLIAMS, C. GUY",INTEGRATED RESOURCE MANAGEMENT STUDY OF THE ANNAPOLIS-KINGS CROWN LAND BLOCK,NO,1990,,711.3 WIL,FORESTS AND FORESTRY - PLANNING
"MAGUIRE, T.J.",INTERNET BASED GIS: WEB BASED MAPPING SOLUTIONS,NO,2000,,711.3 MAG 2000,
"MCGRATH, HEATHER",INTERPOLATION OF LAKE FLOOR: LAKE HURON & GEORGIAN BAY [MAP],YES,2001,,MAP 574.92 MCG 2001,
"AUDAS, SEAN",KARST TOPOGRAPHY: WINDSOR-WEST HANTS,NO,1992,,711.3 AUD 1992,TOPOGRAPHY - WINDSOR
"MACKILLOP, BONNIE",KEATINGS BEACH PARK PROPOSAL,NO,1983,,711.3 MAC,"PLANNING - ANNAPOLIS COUNTY, NOVA SCOTIA"
"KONDRA, ANDREW",KEJIMKUJIK BACKCOUNTRY IMPACT STUDY,NO,1996,,711.3 KON,
"D'ENTREMONT, ALFRED W.",KEJIMKUJIK NATIONAL PARK; CAMPGROUND MONITORING PROPOSAL,NO,1985,,711.3 DEN,PLANNING - NOVA SCOTIA
"HEMAUER, DEREK",KELOWNA BRITISH COLUMBIA [MAP],YES,2001,,MAP 526.8 HEM 2001,
